Category,Company Name,Ticker,Measure,4/30/12,7/31/12,10/31/12,1/31/13,4/30/13,7/31/13,10/31/13,1/31/14,4/30/14,7/31/14,10/31/14,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17
Department Stores,Kohl's Corp,KSS,EV Sales,0.82,0.77,0.84,0.77,0.76,0.81,0.8,0.83,0.81,0.8,0.85,0.85,0.96,0.87,0.73,0.71,0.65,0.59,0.62,0.67
Department Stores,Macy's Inc,M,EV Sales,0.8,0.75,0.79,0.78,0.78,0.86,0.81,0.91,0.93,0.95,0.95,1.01,0.98,1.03,0.9,0.72,0.73,0.65,0.68,0.71
Department Stores,Nordstrom Inc,JWN,EV Sales,1.19,1.08,1.17,1.1,1.05,1.12,1.06,1.11,1.08,1.17,1.21,1.3,1.29,1.22,1.16,0.84,0.8,0.64,0.74,0.77
Department Stores,Dillard's,DDS,EV Sales,0.58,0.6,0.66,0.71,0.65,0.7,0.65,0.7,0.69,0.78,0.81,0.84,0.86,0.72,0.63,0.52,0.51,0.42,0.43,0.45
Department Stores,JC Penney Co Inc,JCP,EV Sales,0.57,0.48,0.5,0.46,0.44,0.55,0.57,0.57,0.54,0.59,0.59,0.56,0.53,0.56,0.57,0.55,0.54,0.55,0.57,0.57
Department Stores,Sears Holdings,SHLD,EV Sales,0.23,0.2,0.21,0.21,0.2,0.22,0.24,0.26,0.23,0.22,0.21,0.25,0.25,0.24,0.14,0.18,0.18,0.2,0.19,0.22
Department Stores,DSW Inc,DSW,EV Sales,0.98,1.03,1.17,1.2,1.19,1.33,1.5,1.43,1.27,0.97,1.01,1.17,1.21,1.06,0.86,0.75,0.74,0.62,0.63,0.63
Department Stores,Bon-Ton Stores,BONT,EV Sales,0.34,0.36,0.37,0.42,0.39,0.44,0.39,0.44,0.38,0.4,0.39,0.42,0.36,0.37,0.37,0.41,0.37,0.37,0.36,0.42
Department Stores,Finish Line Inc,FINL,EV Sales,0.63,0.58,0.59,0.52,0.52,0.59,0.65,0.74,0.67,0.68,0.63,0.61,0.55,0.62,0.44,0.4,0.41,0.42,0.43,0.41
Department Stores,Dick's Sporting Goods,DKS,EV Sales,0.98,0.99,1.05,1.01,0.96,1.07,1.05,1.16,1.05,0.87,0.82,0.94,0.95,0.9,0.81,0.65,0.68,0.7,0.87,0.85
Department Stores,Foot Locker Inc,FL,EV Sales,0.67,0.68,0.79,0.73,0.69,0.7,0.69,0.79,0.87,0.93,1.02,1.01,1.05,1.15,1.25,1.12,1.06,0.9,1.05,1.15
Department Stores,Stage Stores Inc,SSI,EV Sales,0.41,0.39,0.35,0.34,0.33,0.36,0.45,0.48,0.51,0.5,0.41,0.47,0.45,0.41,0.39,0.45,0.43,0.39,0.27,0.26
