,,,,,,,,,,,,,,,,,,,,
,Category,Company Name,Ticker,Year,2012,2013,2014,2015,2016,,,,,,,,,,,
,SG&A Spend,,,,,,,,,,,,,,,,,,,
,Department Stores,Kohl's Corp,KSS,," $4,267.00 "," $4,313.00 "," $4,350.00 "," $4,452.00 "," $4,435.00 ",,,,,,,,,,,
,Department Stores,Macy's Inc,M,," $8,482.00 "," $7,420.00 "," $7,294.00 "," $7,198.00 "," $8,265.00 ",,,,,,,,,,,
,Department Stores,Nordstrom Inc,JWN,," $3,357.00 "," $3,453.00 "," $3,777.00 "," $4,168.00 "," $4,315.00 ",,,,,,,,,,,
,Department Stores,Dillard's,DDS,," $1,671.53 "," $1,632.04 "," $1,663.86 "," $1,669.92 "," $1,655.66 ",,,,,,,,,,,
,Department Stores,JC Penney Co Inc,JCP,," $4,506.00 "," $4,114.00 "," $3,993.00 "," $3,775.00 "," $3,538.00 ",,,,,,,,,,,
,Department Stores,Sears Holdings,SHLD,," $9,190.00 "," $9,222.00 "," $8,007.00 "," $6,546.00 "," $5,757.00 ",,,,,,,,,,,
,Department Stores,DSW Inc,DSW,, $479.39 , $497.10 , $511.39 , $553.97 , $584.29 ,,,,,,,,,,,
,Department Stores,Bon-Ton Stores,BONT,, $932.58 , $899.36 , $907.04 , $905.65 , $880.63 ,,,,,,,,,,,
,Department Stores,Finish Line Inc,FINL,, $365.88 , $424.57 , $458.61 , $466.13 , $478.77 ,,,,,,,,,,,
,Department Stores,Dick's Sporting Goods,DKS,," $1,297.41 "," $1,378.43 "," $1,498.56 "," $1,605.19 "," $1,826.57 ",,,,,,,,,,,
,Department Stores,Foot Locker Inc,FL,," $1,294.00 "," $1,334.00 "," $1,426.00 "," $1,415.00 "," $1,472.00 ",,,,,,,,,,,
,Department Stores,Stage Stores Inc,SSI,, $387.83 , $379.12 , $383.62 , $381.69 , $352.92 ,,,,,,,,,,,
,Discount Retail,TJX Cos Inc,TJX,," $4,250.45 "," $4,467.09 "," $4,695.38 "," $5,205.72 "," $5,768.47 ",,,,,,,,,,,
,Discount Retail,Ross Stores Inc,ROST,," $1,437.89 "," $1,526.37 "," $1,615.37 "," $1,738.76 "," $1,890.41 ",,,,,,,,,,,
,Discount Retail,Burlington Store Inc,BURL,," $1,312.68 "," $1,391.79 "," $1,520.93 "," $1,597.72 "," $1,723.25 ",,,,,,,,,,,
,Discount Retail,Stein Mart,SMRT,, $300.11 , $324.32 , $342.03 , $343.72 , $353.42 ,,,,,,,,,,,
,Discount Retail,Tuesday Morning,TUES,, $304.41 , $312.65 , $315.04 , $322.49 , $352.46 ,,,,,,,,,,,
,Brand Holding Companies,Nike Inc,NKE,," $7,654.00 "," $8,347.00 "," $9,745.00 "," $10,298.00 "," $10,664.00 ",,,,,,,,,,,
,Brand Holding Companies,VF Corp,VFC,," $3,596.71 "," $3,841.03 "," $3,970.54 "," $4,009.03 "," $4,243.80 ",,,,,,,,,,,
,Brand Holding Companies,L Brands,LB,," $2,720.00 "," $2,686.00 "," $2,855.00 "," $3,012.00 "," $3,122.00 ",,,,,,,,,,,
,Brand Holding Companies,Tapestry Inc,TPR,," $2,039.35 "," $2,153.05 "," $2,225.40 "," $2,343.60 "," $2,422.20 ",,,,,,,,,,,
,Brand Holding Companies,Hanesbrands Inc,HBI,, $931.61 , $980.62 ," $1,191.75 "," $1,338.01 "," $1,401.26 ",,,,,,,,,,,
,Brand Holding Companies,Ralph Lauren Corp,RL,," $2,974.80 "," $3,097.90 "," $3,276.00 "," $3,334.00 "," $3,285.00 ",,,,,,,,,,,
,Brand Holding Companies,Michael Kors Holding Ltd,KORS,, $566.93 , $833.67 ," $1,193.66 "," $1,372.29 "," $1,521.70 ",,,,,,,,,,,
,Brand Holding Companies,Under Armour Inc,UA,, $670.60 , $871.57 ," $1,158.25 "," $1,497.00 "," $1,823.14 ",,,,,,,,,,,
,Brand Holding Companies,Abercrombie & Fitch Co.,ANF,, $473.88 , $481.78 , $442.42 , $452.77 , $459.20 ,,,,,,,,,,,
,Brand Holding Companies,American Eagle Outfitters,AEO,, $828.56 , $788.67 , $806.50 , $834.70 , $857.56 ,,,,,,,,,,,
,Brand Holding Companies,Ascena Retail Group,ASNA,," $1,179.70 "," $1,356.90 "," $1,396.30 "," $1,788.30 "," $2,120.10 ",,,,,,,,,,,
,Brand Holding Companies,Gap Inc,GPS,," $4,221.00 "," $4,153.00 "," $4,235.00 "," $4,098.00 "," $4,262.00 ",,,,,,,,,,,
,Brand Holding Companies,"Carter's, Inc",CRI,, $706.51 , $832.38 , $882.35 , $907.33 , $992.31 ,,,,,,,,,,,
,Brand Holding Companies,"Chico's FAS, Inc",CHS,," $1,161.11 "," $1,202.07 "," $1,263.13 ", $878.70 , $775.11 ,,,,,,,,,,,
,Brand Holding Companies,Genesco Inc,GCO,," $1,111.72 "," $1,134.27 "," $1,230.86 "," $1,282.82 "," $1,276.37 ",,,,,,,,,,,
,Brand Holding Companies,Fossil Group Inc,FOSL,," $1,117.70 "," $1,300.09 "," $1,425.34 "," $1,423.53 "," $1,384.66 ",,,,,,,,,,,
