Category,Company Name,Ticker,Measure,2012,2013,2014,2015,2016
Department Stores,Kohl's Corp,KSS,Ecommerce Sales Margin,7.49%,9.09%,11.17%,13.13%,15.36%
Department Stores,Macy's Inc,M,Ecommerce Sales Margin,9.93%,11.65%,13.25%,15.35%,18.35%
Department Stores,Nordstrom Inc,JWN,Ecommerce Sales Margin,12.40%,15.29%,17.44%,19.62%,21.81%
Department Stores,Dillard's,DDS,Ecommerce Sales Margin,2.90%,3.57%,4.27%,4.81%,5.19%
Department Stores,JC Penney Co Inc,JCP,Ecommerce Sales Margin,7.86%,9.10%,9.99%,10.98%,12.35%
Department Stores,Sears Holdings,SHLD,Ecommerce Sales Margin,7.69%,9.22%,7.25%,8.34%,9.31%
Department Stores,DSW Inc,DSW,Ecommerce Sales Margin,7.62%,8.92%,9.56%,11.12%,15.48%
Department Stores,Bon-Ton Stores,BONT,Ecommerce Sales Margin,3.33%,4.70%,5.91%,7.84%,9.83%
Department Stores,Finish Line Inc,FINL,Ecommerce Sales Margin,12.58%,12.51%,14.07%,16.30%,17.72%
Department Stores,Dick's Sporting Goods,DKS,Ecommerce Sales Margin,5.30%,7.90%,9.20%,10.30%,11.90%
Department Stores,Foot Locker Inc,FL,Ecommerce Sales Margin,9.93%,10.99%,12.10%,12.74%,13.16%
Department Stores,Stage Stores Inc,SSI,Ecommerce Sales Margin,1.40%,1.86%,2.30%,2.80%,3.34%
Discount Retail,TJX Cos Inc,TJX,Ecommerce Sales Margin,0.00%,0.00%,0.00%,0.00%,0.00%
Discount Retail,Ross Stores Inc,ROST,Ecommerce Sales Margin,0.00%,0.00%,0.00%,0.00%,0.00%
Discount Retail,Burlington Store Inc,BURL,Ecommerce Sales Margin,0.00%,0.00%,0.00%,0.00%,0.00%
Discount Retail,Stein Mart,SMRT,Ecommerce Sales Margin,0.00%,0.40%,1.03%,1.70%,2.10%
Discount Retail,Tuesday Morning,TUES,Ecommerce Sales Margin,0.00%,0.00%,0.00%,0.00%,0.00%
Brand Holding Companies,Nike Inc,NKE,Ecommerce Sales Margin,2.17%,2.83%,4.03%,5.39%,6.57%
Brand Holding Companies,VF Corp,VFC,Ecommerce Sales Margin,2.20%,2.84%,3.64%,4.16%,5.17%
Brand Holding Companies,L Brands,LB,Ecommerce Sales Margin,17.30%,16.39%,15.80%,15.81%,16.18%
Brand Holding Companies,Tapestry Inc,TPR,Ecommerce Sales Margin,8.03%,11.95%,10.65%,4.78%,4.18%
Brand Holding Companies,Hanesbrands Inc,HBI,Ecommerce Sales Margin,0.62%,0.71%,0.86%,0.83%,0.81%
Brand Holding Companies,Ralph Lauren Corp,RL,Ecommerce Sales Margin,5.96%,7.33%,8.27%,8.77%,8.40%
Brand Holding Companies,Michael Kors Holding Ltd,KORS,Ecommerce Sales Margin,0.00%,0.00%,1.46%,2.99%,4.55%
Brand Holding Companies,Under Armour Inc,UA,Ecommerce Sales Margin,8.99%,9.22%,10.02%,12.04%,13.69%
Brand Holding Companies,Abercrombie & Fitch Co.,ANF,Ecommerce Sales Margin,15.53%,18.87%,22.24%,23.62%,25.70%
Brand Holding Companies,American Eagle Outfitters,AEO,Ecommerce Sales Margin,13.43%,16.01%,16.75%,18.74%,22.27%
Brand Holding Companies,Ascena Retail Group,ASNA,Ecommerce Sales Margin,3.90%,7.66%,9.36%,8.89%,17.64%
Brand Holding Companies,Gap Inc,GPS,Ecommerce Sales Margin,11.90%,14.01%,15.23%,16.02%,16.31%
Brand Holding Companies,"Carter's, Inc",CRI,Ecommerce Sales Margin,6.10%,8.19%,9.55%,11.36%,13.22%
Brand Holding Companies,"Chico's FAS, Inc",CHS,Ecommerce Sales Margin,11.70%,11.61%,13.80%,14.86%,13.89%
Brand Holding Companies,Genesco Inc,GCO,Ecommerce Sales Margin,4.54%,5.63%,5.73%,6.09%,7.93%
Brand Holding Companies,Fossil Group Inc,FOSL,Ecommerce Sales Margin,1.83%,1.60%,1.68%,2.01%,2.90%
Brand Holding Companies,Caleres Inc,CAL,Ecommerce Sales Margin,5.59%,5.50%,4.14%,3.53%,5.23%
Brand Holding Companies,Lululemon Athletica Inc,LULU,Ecommerce Sales Margin,14.40%,16.53%,17.87%,19.49%,19.34%
Brand Holding Companies,"Guess?, Inc",GES,Ecommerce Sales Margin,1.63%,2.16%,3.24%,4.06%,4.18%
Brand Holding Companies,"Express, Inc",EXPR,Ecommerce Sales Margin,12.59%,15.35%,16.36%,16.71%,18.85%
Brand Holding Companies,Tailored Brands,TLRD,Ecommerce Sales Margin,1.51%,1.71%,4.54%,5.11%,5.17%
Brand Holding Companies,"Steve Madden, Ltd",SHOO,Ecommerce Sales Margin,3.07%,3.41%,3.75%,4.13%,4.63%
Brand Holding Companies,"Urban Outfitters, Inc",URBN,Ecommerce Sales Margin,23.73%,26.73%,29.08%,33.19%,36.51%
