,,,,,,,,,,,,,,,,,,
Category,Company Name,Ticker,Year,2012,2013,2014,2015,2016,,,,,,,,,,
Ecommerce Sales (MM),,,,,,,,,,,,,,,,,,
Department Stores,Kohl's Corp,KSS,," $1,444.00 "," $1,730.00 "," $2,124.00 "," $2,522.00 "," $2,870.00 ",,,,,,,,,,
Department Stores,Macy's Inc,M,," $2,750.40 "," $3,254.80 "," $3,725.00 "," $4,156.00 "," $4,729.90 ",,,,,,,,,,
Department Stores,Nordstrom Inc,JWN,," $1,505.00 "," $1,917.00 "," $2,356.00 "," $2,832.00 "," $3,219.00 ",,,,,,,,,,
Department Stores,Dillard's,DDS,, $196.00 , $238.70 , $289.40 , $324.90 , $332.90 ,,,,,,,,,,
Department Stores,JC Penney Co Inc,JCP,," $1,020.00 "," $1,079.00 "," $1,225.00 "," $1,386.00 "," $1,550.00 ",,,,,,,,,,
Department Stores,Sears Holdings,SHLD,," $3,065.70 "," $3,336.00 "," $2,261.70 "," $2,098.00 "," $2,061.00 ",,,,,,,,,,
Department Stores,DSW Inc,DSW,, $172.00 , $211.40 , $238.74 , $291.26 , $419.69 ,,,,,,,,,,
Department Stores,Bon-Ton Stores,BONT,, $99.26 , $133.30 , $166.75 , $218.70 , $262.86 ,,,,,,,,,,
Department Stores,Finish Line Inc,FINL,, $181.55 , $208.98 , $256.20 , $293.23 , $326.75 ,,,,,,,,,,
Department Stores,Dick's Sporting Goods,DKS,, $309.30 , $490.80 , $626.90 , $748.90 , $942.70 ,,,,,,,,,,
Department Stores,Foot Locker Inc,FL,, $614.00 , $715.00 , $865.00 , $944.00 ," $1,022.00 ",,,,,,,,,,
Department Stores,Stage Stores Inc,SSI,, $23.00 , $30.00 , $37.70 , $45.00 , $48.20 ,,,,,,,,,,
Discount Retail,TJX Cos Inc,TJX,, $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,
Discount Retail,Ross Stores Inc,ROST,, $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,
Discount Retail,Burlington Store Inc,BURL,, $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,
Discount Retail,Stein Mart,SMRT,, $-   , $5.10 , $13.60 , $23.10 , $28.60 ,,,,,,,,,,
Discount Retail,Tuesday Morning,TUES,, $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,
Brand Holding Companies,Nike Inc,NKE,, $540.00 , $767.00 ," $1,220.00 "," $1,720.00 "," $2,230.00 ",,,,,,,,,,
Brand Holding Companies,VF Corp,VFC,, $239.90 , $324.60 , $432.50 , $500.80 , $621.00 ,,,,,,,,,,
Brand Holding Companies,L Brands,LB,," $1,809.00 "," $1,766.00 "," $1,809.20 "," $1,921.20 "," $2,034.40 ",,,,,,,,,,
Brand Holding Companies,Tapestry Inc,TPR,, $396.00 , $595.00 , $478.70 , $202.50 , $190.00 ,,,,,,,,,,
Brand Holding Companies,Hanesbrands Inc,HBI,, $28.00 , $32.90 , $45.60 , $47.80 , $49.00 ,,,,,,,,,,
Brand Holding Companies,Ralph Lauren Corp,RL,, $412.80 , $529.60 , $628.40 , $650.30 , $584.60 ,,,,,,,,,,
Brand Holding Companies,Michael Kors Holding Ltd,KORS,, $-   , $-   , $61.60 , $137.40 , $210.70 ,,,,,,,,,,
Brand Holding Companies,Under Armour Inc,UA,, $165.00 , $215.00 , $309.00 , $477.00 , $660.50 ,,,,,,,,,,
Brand Holding Companies,Abercrombie & Fitch Co.,ANF,, $700.70 , $776.90 , $832.50 , $831.00 , $854.90 ,,,,,,,,,,
Brand Holding Companies,American Eagle Outfitters,AEO,, $466.70 , $529.20 , $550.00 , $660.00 , $804.00 ,,,,,,,,,,
Brand Holding Companies,Ascena Retail Group,ASNA,, $159.90 , $368.10 , $450.20 , $518.70 ," $1,219.10 ",,,,,,,,,,
Brand Holding Companies,Gap Inc,GPS,," $1,863.00 "," $2,262.00 "," $2,503.00 "," $2,530.00 "," $2,530.60 ",,,,,,,,,,
Brand Holding Companies,"Carter's, Inc",CRI,, $145.30 , $216.20 , $276.50 , $342.30 , $423.00 ,,,,,,,,,,
Brand Holding Companies,"Chico's FAS, Inc",CHS,, $302.10 , $300.20 , $369.20 , $395.40 , $343.90 ,,,,,,,,,,
Brand Holding Companies,Genesco Inc,GCO,, $118.30 , $147.80 , $163.80 , $184.00 , $227.50 ,,,,,,,,,,
Brand Holding Companies,Fossil Group Inc,FOSL,, $52.30 , $52.20 , $59.00 , $64.90 , $88.20 ,,,,,,,,,,
Brand Holding Companies,Caleres Inc,CAL,, $138.50 , $138.30 , $106.40 , $91.00 , $134.90 ,,,,,,,,,,
Brand Holding Companies,Lululemon Athletica Inc,LULU,, $197.30 , $263.10 , $321.20 , $401.50 , $453.30 ,,,,,,,,,,
Brand Holding Companies,"Guess?, Inc",GES,, $43.30 , $55.40 , $78.40 , $89.50 , $92.40 ,,,,,,,,,,
Brand Holding Companies,"Express, Inc",EXPR,, $271.50 , $340.60 , $354.20 , $392.70 , $413.40 ,,,,,,,,,,
Brand Holding Companies,Tailored Brands,TLRD,, $37.50 , $42.40 , $147.60 , $178.60 , $174.70 ,,,,,,,,,,
Brand Holding Companies,"Steve Madden, Ltd",SHOO,, $37.70 , $44.80 , $50.10 , $58.00 , $64.80 ,,,,,,,,,,
Brand Holding Companies,"Urban Outfitters, Inc",URBN,, $663.30 , $825.20 , $966.50 ," $1,143.40 "," $1,294.60 ",,,,,,,,,,
Ecommerce Sales Margin,,,,,,,,,,,,,,,,,,
Department Stores,Kohl's Corp,KSS,,7.49%,9.09%,11.17%,13.13%,15.36%,,,,,,,,,,
Department Stores,Macy's Inc,M,,9.93%,11.65%,13.25%,15.35%,18.35%,,,,,,,,,,
Department Stores,Nordstrom Inc,JWN,,12.40%,15.29%,17.44%,19.62%,21.81%,,,,,,,,,,
Department Stores,Dillard's,DDS,,2.90%,3.57%,4.27%,4.81%,5.19%,,,,,,,,,,
Department Stores,JC Penney Co Inc,JCP,,7.86%,9.10%,9.99%,10.98%,12.35%,,,,,,,,,,
Department Stores,Sears Holdings,SHLD,,7.69%,9.22%,7.25%,8.34%,9.31%,,,,,,,,,,
Department Stores,DSW Inc,DSW,,7.62%,8.92%,9.56%,11.12%,15.48%,,,,,,,,,,
Department Stores,Bon-Ton Stores,BONT,,3.33%,4.70%,5.91%,7.84%,9.83%,,,,,,,,,,
Department Stores,Finish Line Inc,FINL,,12.58%,12.51%,14.07%,16.30%,17.72%,,,,,,,,,,
Department Stores,Dick's Sporting Goods,DKS,,5.30%,7.90%,9.20%,10.30%,11.90%,,,,,,,,,,
Department Stores,Foot Locker Inc,FL,,9.93%,10.99%,12.10%,12.74%,13.16%,,,,,,,,,,
Department Stores,Stage Stores Inc,SSI,,1.40%,1.86%,2.30%,2.80%,3.34%,,,,,,,,,,
Discount Retail,TJX Cos Inc,TJX,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
Discount Retail,Ross Stores Inc,ROST,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
Discount Retail,Burlington Store Inc,BURL,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
Discount Retail,Stein Mart,SMRT,,0.00%,0.40%,1.03%,1.70%,2.10%,,,,,,,,,,
Discount Retail,Tuesday Morning,TUES,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
Brand Holding Companies,Nike Inc,NKE,,2.17%,2.83%,4.03%,5.39%,6.57%,,,,,,,,,,
Brand Holding Companies,VF Corp,VFC,,2.20%,2.84%,3.64%,4.16%,5.17%,,,,,,,,,,
Brand Holding Companies,L Brands,LB,,17.30%,16.39%,15.80%,15.81%,16.18%,,,,,,,,,,
Brand Holding Companies,Tapestry Inc,TPR,,8.03%,11.95%,10.65%,4.78%,4.18%,,,,,,,,,,
Brand Holding Companies,Hanesbrands Inc,HBI,,0.62%,0.71%,0.86%,0.83%,0.81%,,,,,,,,,,
Brand Holding Companies,Ralph Lauren Corp,RL,,5.96%,7.33%,8.27%,8.77%,8.40%,,,,,,,,,,
Brand Holding Companies,Michael Kors Holding Ltd,KORS,,0.00%,0.00%,1.46%,2.99%,4.55%,,,,,,,,,,
Brand Holding Companies,Under Armour Inc,UA,,8.99%,9.22%,10.02%,12.04%,13.69%,,,,,,,,,,
Brand Holding Companies,Abercrombie & Fitch Co.,ANF,,15.53%,18.87%,22.24%,23.62%,25.70%,,,,,,,,,,
Brand Holding Companies,American Eagle Outfitters,AEO,,13.43%,16.01%,16.75%,18.74%,22.27%,,,,,,,,,,
Brand Holding Companies,Ascena Retail Group,ASNA,,3.90%,7.66%,9.36%,8.89%,17.64%,,,,,,,,,,
Brand Holding Companies,Gap Inc,GPS,,11.90%,14.01%,15.23%,16.02%,16.31%,,,,,,,,,,
Brand Holding Companies,"Carter's, Inc",CRI,,6.10%,8.19%,9.55%,11.36%,13.22%,,,,,,,,,,
Brand Holding Companies,"Chico's FAS, Inc",CHS,,11.70%,11.61%,13.80%,14.86%,13.89%,,,,,,,,,,
Brand Holding Companies,Genesco Inc,GCO,,4.54%,5.63%,5.73%,6.09%,7.93%,,,,,,,,,,
Brand Holding Companies,Fossil Group Inc,FOSL,,1.83%,1.60%,1.68%,2.01%,2.90%,,,,,,,,,,
Brand Holding Companies,Caleres Inc,CAL,,5.59%,5.50%,4.14%,3.53%,5.23%,,,,,,,,,,
Brand Holding Companies,Lululemon Athletica Inc,LULU,,14.40%,16.53%,17.87%,19.49%,19.34%,,,,,,,,,,
Brand Holding Companies,"Guess?, Inc",GES,,1.63%,2.16%,3.24%,4.06%,4.18%,,,,,,,,,,
Brand Holding Companies,"Express, Inc",EXPR,,12.59%,15.35%,16.36%,16.71%,18.85%,,,,,,,,,,
Brand Holding Companies,Tailored Brands,TLRD,,1.51%,1.71%,4.54%,5.11%,5.17%,,,,,,,,,,
Brand Holding Companies,"Steve Madden, Ltd",SHOO,,3.07%,3.41%,3.75%,4.13%,4.63%,,,,,,,,,,
Brand Holding Companies,"Urban Outfitters, Inc",URBN,,23.73%,26.73%,29.08%,33.19%,36.51%,,,,,,,,,,
