,,,,,,,,,,,,,,,,,,,
Category,Company Name,Ticker,Year,2012,2013,2014,2015,2016,,,,,,,,,,,
Net Income,,,,,,,,,,,,,,,,,,,
Department Stores,Kohl's Corp,KSS,, $986.00 , $889.00 , $867.00 , $673.00 , $556.00 ,,,,,,,,,,,
Department Stores,Macy's Inc,M,," $1,335.00 "," $1,486.00 "," $1,526.00 "," $1,072.00 ", $619.00 ,,,,,,,,,,,
Department Stores,Nordstrom Inc,JWN,, $735.00 , $734.00 , $720.00 , $600.00 , $354.00 ,,,,,,,,,,,
Department Stores,Dillard's,DDS,, $335.96 , $323.67 , $331.85 , $269.37 , $169.22 ,,,,,,,,,,,
Department Stores,JC Penney Co Inc,JCP,, $(985.00)," $(1,278.00)", $(717.00), $(513.00), $1.00 ,,,,,,,,,,,
Department Stores,Sears Holdings,SHLD,, $(930.00)," $(1,365.00)"," $(1,682.00)"," $(1,129.00)"," $(2,221.00)",,,,,,,,,,,
Department Stores,DSW Inc,DSW,, $146.44 , $151.30 , $153.30 , $136.03 , $124.54 ,,,,,,,,,,,
Department Stores,Bon-Ton Stores,BONT,, $(21.55), $(3.56), $(6.97), $(57.05), $(63.42),,,,,,,,,,,
Department Stores,Finish Line Inc,FINL,, $71.47 , $76.90 , $81.99 , $21.89 , $(18.21),,,,,,,,,,,
Department Stores,Dick's Sporting Goods,DKS,, $290.71 , $337.60 , $344.20 , $330.39 , $287.40 ,,,,,,,,,,,
Department Stores,Foot Locker Inc,FL,, $397.00 , $429.00 , $520.00 , $541.00 , $664.00 ,,,,,,,,,,,
Department Stores,Stage Stores Inc,SSI,, $38.18 , $16.64 , $30.85 , $3.78 , $(37.90),,,,,,,,,,,
Discount Retail,TJX Cos Inc,TJX,," $1,906.69 "," $2,137.40 "," $2,215.13 "," $2,277.66 "," $2,298.23 ",,,,,,,,,,,
Discount Retail,Ross Stores Inc,ROST,, $786.76 , $837.30 , $924.72 ," $1,020.66 "," $1,117.65 ",,,,,,,,,,,
Discount Retail,Burlington Store Inc,BURL,, $25.30 , $16.15 , $65.96 , $150.48 , $215.87 ,,,,,,,,,,,
Discount Retail,Stein Mart,SMRT,, $25.03 , $25.56 , $26.91 , $23.71 , $0.40 ,,,,,,,,,,,
Discount Retail,Tuesday Morning,TUES,, $(34.68), $(22.28), $1.59 , $5.76 , $(9.52),,,,,,,,,,,
Brand Holding Companies,Nike Inc,NKE,," $2,366.00 "," $2,657.00 "," $3,106.00 "," $3,779.00 "," $4,078.00 ",,,,,,,,,,,
Brand Holding Companies,VF Corp,VFC,," $1,086.00 "," $1,210.12 "," $1,047.51 "," $1,231.59 "," $1,074.11 ",,,,,,,,,,,
Brand Holding Companies,L Brands,LB,, $753.00 , $903.00 ," $1,042.00 "," $1,253.00 "," $1,158.00 ",,,,,,,,,,,
Brand Holding Companies,Tapestry Inc,TPR,," $1,050.58 ", $975.58 , $568.50 , $366.30 , $511.10 ,,,,,,,,,,,
Brand Holding Companies,Hanesbrands Inc,HBI,, $164.68 , $330.49 , $404.52 , $428.86 , $539.38 ,,,,,,,,,,,
Brand Holding Companies,Ralph Lauren Corp,RL,, $717.40 , $750.20 , $731.00 , $479.00 , $146.40 ,,,,,,,,,,,
Brand Holding Companies,Michael Kors Holding Ltd,KORS,, $340.11 , $601.55 , $859.42 , $844.74 , $756.30 ,,,,,,,,,,,
Brand Holding Companies,Under Armour Inc,UA,, $128.78 , $162.33 , $208.04 , $232.57 , $256.98 ,,,,,,,,,,,
Brand Holding Companies,Abercrombie & Fitch Co.,ANF,, $237.01 , $54.63 , $51.82 , $35.58 , $3.96 ,,,,,,,,,,,
Brand Holding Companies,American Eagle Outfitters,AEO,, $232.11 , $82.98 , $80.32 , $218.14 , $212.45 ,,,,,,,,,,,
Brand Holding Companies,Ascena Retail Group,ASNA,, $141.30 , $145.50 , $111.10 , $(339.70), $8.00 ,,,,,,,,,,,
Brand Holding Companies,Gap Inc,GPS,," $1,135.00 "," $1,280.00 "," $1,262.00 ", $920.00 , $676.00 ,,,,,,,,,,,
Brand Holding Companies,"Carter's, Inc",CRI,, $161.15 , $160.41 , $194.67 , $237.82 , $258.11 ,,,,,,,,,,,
Brand Holding Companies,"Chico's FAS, Inc",CHS,, $180.22 , $65.88 , $64.64 , $1.95 , $91.23 ,,,,,,,,,,,
Brand Holding Companies,Genesco Inc,GCO,, $112.44 , $92.65 , $97.73 , $94.57 , $97.43 ,,,,,,,,,,,
Brand Holding Companies,Fossil Group Inc,FOSL,, $343.40 , $378.15 , $376.71 , $220.64 , $78.87 ,,,,,,,,,,,
Brand Holding Companies,Caleres Inc,CAL,, $27.49 , $38.07 , $82.85 , $81.48 , $65.66 ,,,,,,,,,,,
Brand Holding Companies,Lululemon Athletica Inc,LULU,, $270.56 , $279.55 , $239.03 , $266.05 , $303.38 ,,,,,,,,,,,
Brand Holding Companies,"Guess?, Inc",GES,, $178.74 , $153.43 , $94.57 , $81.85 , $22.76 ,,,,,,,,,,,
Brand Holding Companies,"Express, Inc",EXPR,, $139.27 , $116.54 , $68.33 , $116.51 , $57.42 ,,,,,,,,,,,
Brand Holding Companies,Tailored Brands,TLRD,, $131.72 , $83.79 , $(0.39)," $(1,026.72)", $24.96 ,,,,,,,,,,,
Brand Holding Companies,"Steve Madden, Ltd",SHOO,, $119.63 , $132.01 , $111.88 , $112.94 , $120.91 ,,,,,,,,,,,
